"Sector","Emissions","year",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"Transport",84.0395,2009,88.6301779419819,-4.59067794198185,0.0522714833059659,9.09393765291345,0.0076296377148704,-0.525988826017482
"Transport",84.3601,2010,89.2034012041604,-4.8433012041604,0.0588396278051446,9.08802536893962,0.00969346275028168,-0.5568668029812
"Transport",87.9181,2011,89.7766244663387,-1.85852446633869,0.0665024630541863,9.13461336644516,0.00163983926245584,-0.214562272834161
"Transport",84.115,2012,90.3498477285173,-6.23484772851727,0.0752599890530911,9.05028659350193,0.021282855344097,-0.723198794285525
"Transport",80.8769,2013,90.9230709906956,-10.0461709906956,0.085112205801859,8.89812236681215,0.0638426120978255,-1.17154322124616
"Transport",85.7059,2014,91.4962942528741,-5.79039425287411,0.09605911330049,9.06120866358329,0.0245204320851333,-0.679328423093558
"Transport",87.1939,2015,92.0695175150527,-4.87561751505267,0.108100711548984,9.08422012429959,0.0200959949091894,-0.575855323818297
"Transport",89.8506,2016,92.642740777231,-2.79214077723097,0.121237000547341,9.12328361917878,0.00761411826021912,-0.332233251397835
"Transport",83.4867,2017,93.2159640394095,-9.72926403940953,0.135467980295561,8.8999732558322,0.106730318856122,-1.16716193343279
"Agriculture",55.6903,1990,56.1202415343917,-0.429941534391652,0.140211640211628,1.17632800490095,0.0131117052258225,-0.401003655862163
"Agriculture",55.4926,1991,55.8762380545381,-0.383638054538139,0.124949124949127,1.17715657449777,0.00898151082101407,-0.354682481898023
"Agriculture",55.149,1992,55.6322345746847,-0.483234574684673,0.110907610907612,1.17548378813785,0.0122524514422238,-0.44321991290623
"Agriculture",54.3199,1993,55.3882310948312,-1.06833109483121,0.0980870980870994,1.15757433147328,0.0514675921321804,-0.972877769761197
"Agriculture",55.1297,1994,55.1442276149777,-0.0145276149776947,0.0864875864875876,1.18012543854285,8.17999313899052e-06,-0.0131453394471515
"Agriculture",55.0619,1995,54.9002241351242,0.161675864875768,0.076109076109077,1.17962995356956,0.000871615329415432,0.145468698427432
"Agriculture",56.3436,1996,54.6562206552707,1.68737934472928,0.0669515669515677,1.12497001397402,0.0818874321603414,1.51075953935286
"Agriculture",55.81,1997,54.4122171754173,1.39778282458275,0.0590150590150596,1.14288750885707,0.048698582942021,1.24618659012454
"Agriculture",55.9508,1998,54.1682136955638,1.7825863044362,0.0522995522995527,1.11937414311708,0.0691984483107784,1.58361546098624
"Agriculture",56.1761,1999,53.9242102157103,2.25188978428973,0.0468050468050471,1.08214534773702,0.0976928776103252,1.99476148454714
"Agriculture",54.1336,2000,53.6802067358568,0.453393264143195,0.0425315425315427,1.1763332756574,0.00356657807565101,0.400726013928021
"Agriculture",51.9556,2001,53.4362032560034,-1.48060325600335,0.0394790394790396,1.13912699920941,0.035080817910852,-1.3065318084087
"Agriculture",51.4955,2002,53.1921997761498,-1.69669977614983,0.0376475376475377,1.12608331034689,0.0437640678819836,-1.49579691139883
"Agriculture",51.9504,2003,52.9481962962964,-0.997796296296372,0.037037037037037,1.16173445386841,0.0148710032561013,-0.87937032547003
"Agriculture",52.8134,2004,52.7041928164429,0.109207183557089,0.0376475376475376,1.17991072197092,0.000181305129587994,0.0962761769427944
"Agriculture",52.934,2005,52.4601893365894,0.473810663410603,0.0394790394790394,1.17599625347583,0.00359254296959131,0.41810572845849
"Agriculture",51.8998,2006,52.2161858567359,-0.316385856735927,0.0425315425315425,1.17828246673599,0.0017367436932505,-0.279633715936501
"Agriculture",51.4731,2007,51.9721823768825,-0.499082376882477,0.0468050468050468,1.17550737654113,0.00479858409547282,-0.442095483520833
"Agriculture",51.2407,2008,51.728178897029,-0.487478897028957,0.0522995522995523,1.17569459033298,0.00517495841992946,-0.433066896294599
"Agriculture",50.4428,2009,51.4841754171755,-1.04137541717549,0.0590150590150591,1.15960589639119,0.0270303436740684,-0.928433271139007
"Agriculture",50.5021,2010,51.240171937322,-0.738071937321976,0.0669515669515671,1.16977734919556,0.0156671204240295,-0.660817156213694
"Agriculture",49.6474,2011,50.9961684574685,-1.34876845746852,0.0761090761090763,1.14484165997065,0.0606609595555578,-1.2135614189451
"Agriculture",50.3688,2012,50.7521649776151,-0.383364977615052,0.0864875864875868,1.17728595282013,0.00569625164969634,-0.346888513404094
"Agriculture",49.2991,2013,50.5081614977615,-1.20906149776154,0.0980870980870985,1.1511611161356,0.0659202574965016,-1.10103418232181
"Agriculture",51.1492,2014,50.2641580179081,0.885041982091927,0.110907610907612,1.1644728103024,0.0410993292736216,0.811755306368965
"Agriculture",51.7745,2015,50.0201545380546,1.75434546194539,0.124949124949126,1.11631345138054,0.187817594124945,1.62193399530858
"Agriculture",51.3974,2016,49.7761510582011,1.6212489417989,0.140211640211641,1.12486756414539,0.18644029615196,1.51212827959109
"Mining",50.4528,1990,52.4060193121695,-1.95321931216952,0.140211640211628,1.7942187846465,0.110713043754796,-1.16524739004719
"Mining",50.6083,1991,51.0864645502647,-0.478164550264736,0.124949124949127,1.842068931858,0.00570843666975046,-0.28276368559101
"Mining",51.1993,1992,49.76690978836,1.43239021164005,0.110907610907612,1.8187775068761,0.0440439314482981,0.840331818467473
"Mining",50.8071,1993,48.4473550264552,2.35974497354483,0.0980870980870994,1.7739378913412,0.102732687672002,1.37450296072988
"Mining",44.5884,1994,47.1278002645504,-2.53940026455039,0.0864875864875876,1.76351263844032,0.102254638164469,-1.46972757895155
"Mining",46.4514,1995,45.8082455026456,0.643154497354395,0.076109076109077,1.83995919853476,0.00564314869886098,0.370141576417276
"Mining",46.6336,1996,44.4886907407408,2.14490925925918,0.0669515669515677,1.78847889632896,0.0541334918595284,1.22834323929898
"Mining",45.7612,1997,43.169135978836,2.59206402116396,0.0590150590150596,1.76255432926492,0.0685148594200881,1.47814587950344
"Mining",44.3993,1998,41.8495812169313,2.54971878306875,0.0522995522995527,1.76586484914085,0.0579210185103382,1.44883740646449
"Mining",40.5016,1999,40.5300264550265,-0.0284264550264766,0.0468050468050471,1.84501210750797,6.36898823136797e-06,-0.0161062615087715
"Mining",38.3356,2000,39.2104716931217,-0.87487169312169,0.0425315425315427,1.8359729457793,0.00543308796440541,-0.494589664852804
"Mining",38.2106,2001,37.8909169312169,0.319683068783092,0.0394790394790396,1.84381988275608,0.000669095300890962,0.180438464257375
"Mining",36.7225,2002,36.5713621693121,0.151137830687873,0.0376475376475377,1.84475363905021,0.000142072638235649,0.0852253931335709
"Mining",34.0924,2003,35.2518074074073,-1.15940740740734,0.037037037037037,1.82919145922286,0.00821457376009409,-0.653573129439157
"Mining",32.9093,2004,33.9322526455026,-1.02295264550256,0.0376475376475376,1.83270236616529,0.00650841348237831,-0.576834674503808
"Mining",30.7382,2005,32.6126978835978,-1.87449788359778,0.0394790394790394,1.80324195208346,0.0230048082420901,-1.05802137303586
"Mining",28.2917,2006,31.293143121693,-3.00144312169299,0.0425315425315425,1.7355317027857,0.0639467154161342,-1.69680052435568
"Mining",27.7704,2007,29.9735883597882,-2.20318835978821,0.0468050468050468,1.78659512713161,0.0382585314824782,-1.24831351087195
"Mining",27.0883,2008,28.6540335978834,-1.56573359788343,0.0522995522995523,1.81557737881405,0.0218417466485289,-0.889703374441066
"Mining",27.0568,2009,27.3344788359786,-0.277678835978641,0.0590150590150591,1.84409619551321,0.000786282995167744,-0.15834864566466
"Mining",26.6619,2010,26.0149240740739,0.646975925926142,0.0669515669515671,1.83994912498234,0.0049252064049936,0.370509149125891
"Mining",24.2057,2011,24.6953693121691,-0.489669312169074,0.0761090761090763,1.8420888446265,0.00327112128771476,-0.281809381532836
"Mining",22.3792,2012,23.3758145502643,-0.996614550264294,0.0864875864875868,1.83270341647176,0.0157498035877939,-0.576810166776707
"Mining",21.0969,2013,22.0562597883595,-0.95935978835951,0.0980870980870985,1.83346273324965,0.0169801504091218,-0.558807364477513
"Mining",21.0869,2014,20.7367050264547,0.350194973545268,0.110907610907612,1.84346351424375,0.00263258986708876,0.205446795535087
"Mining",22.4023,2015,19.4171502645499,2.98514973545006,0.124949124949126,1.72620701916533,0.222481895800673,1.76527503088538
"Mining",21.3471,2016,18.0975955026452,3.24950449735483,0.140211640211641,1.70070164075508,0.306429841193721,1.9385824269194
"Other Sectors",25.4981,1990,27.5379071428572,-2.0398071428572,0.140211640211628,1.18983410810713,0.25414137130162,-1.76545408850105
"Other Sectors",27.2566,1991,27.3189211233212,-0.0623211233212189,0.124949124949127,1.27167593153206,0.000204095468708962,-0.0534664958090524
"Other Sectors",27.0038,1992,27.0999351037852,-0.096135103785187,0.110907610907612,1.27157834801426,0.000417568538010856,-0.0818222944107534
"Other Sectors",26.2124,1993,26.8809490842492,-0.66854908424915,0.0980870980870994,1.26360437080907,0.0173558340330032,-0.56495531507015
"Other Sectors",25.8664,1994,26.6619630647131,-0.795563064713118,0.0864875864875876,1.26034763402677,0.0211237150604531,-0.668006188440418
"Other Sectors",25.837,1995,26.4429770451771,-0.605977045177088,0.076109076109077,1.26522086902534,0.0105439563623724,-0.505951541111183
"Other Sectors",27.9294,1996,26.2239910256411,1.70540897435895,0.0669515669515677,1.21961666052197,0.0720287143684014,1.41690114238413
"Other Sectors",26.5953,1997,26.0050050061051,0.590294993894918,0.0590150590150596,1.26566795867862,0.00747879974376978,0.488360875718308
"Other Sectors",27.3699,1998,25.786018986569,1.58388101343095,0.0522995522995527,1.22761877100966,0.0470432275464201,1.30572016202064
"Other Sectors",27.5763,1999,25.567032967033,2.00926703296699,0.0468050468050471,1.20036242772023,0.0669731518033039,1.65161908190424
"Other Sectors",26.7971,2000,25.348046947497,1.44905305250301,0.0425315425315427,1.23530096047983,0.0313708986681699,1.18846158542705
